"id","index","ec_list_no","cas_id_number","name","page_id","url"
"1","001-001-00-9","215-605-7","1333-74-0","hydrogen","53968","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/53968"
"2","001-002-00-4","240-877-9","16853-85-3","aluminium lithium hydride","110445","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/110445"
"3","001-003-00-X","231-587-3","7646-69-7","sodium hydride","25621","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/25621"
"4","001-004-00-5","232-189-2","7789-78-8","calcium hydride","126837","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/126837"
"5","003-001-00-4","231-102-5","7439-93-2","lithium","13762","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/13762"
"6","003-002-00-X","404-950-0","21369-64-2","n-hexyllithium","126433","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/126433"
"7","003-003-00-5","440-620-2","920-36-5","(2-methylpropyl)lithium|isobutyllithium","62855","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/62855"
"8","004-001-00-7","231-150-7","7440-41-7","beryllium","47502","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/47502"
"9","004-002-00-2","","","beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex","153384","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153384"
"10","004-003-00-8","215-133-1","1304-56-9","beryllium oxide","70014","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/70014"
"11","005-001-00-X","231-569-5","692-39-7, 7637-07-2","boron trifluoride","11019","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/11019"
"12","005-002-00-5","233-658-4","10294-34-5","boron trichloride","57471","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/57471"
"13","005-003-00-0","233-657-9","10294-33-4","boron tribromide","57962","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/57962"
"14","005-004-00-6","","","trialkylboranes","153385","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153385"
"15","005-004-01-3","","","trialkylboranes, liquid","153386","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/153386"
"16","005-005-00-1","204-468-9","121-43-7","trimethyl borate","124659","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/124659"
"17","005-006-00-7","401-040-5","75113-37-0","dibutyltin hydrogen borate","81985","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/81985"
"18","005-007-00-2","234-343-4","11113-50-1","boric acid","32191","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/32191"
"19","005-007-00-2","233-139-2","10043-35-3","boric acid","78377","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/78377"
"20","005-008-00-8","215-125-8","1303-86-2","diboron trioxide|boric oxide","89770","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/89770"
"21","005-009-00-3","418-080-4","120307-06-4","tetrabutylammonium butyltriphenylborate","85843","https://echa.europa.eu/information-on-chemicals/cl-inventory-database/-/discli/details/85843"
