cas,nombre,umbral_t,notas,tipo_match,h_codes_match,nombre_patron,condiciones_especiales
6484-52-2,Nitrato de amonio,10,,cas,,,
7757-79-1,Nitrato de potasio,1250,,cas,,,
1303-28-2,"Pentaóxido de diarsénico, ácido arsénico (V) y/o sales",1,,cas,,,
1327-53-3,"Trióxido de diarsénico, ácido arsenioso (III) y/o sales",0.1,,cas,,,
7726-95-6,Bromo,20,,cas,,,
7782-50-5,Cloro,10,,cas,,,
,"Compuestos de níquel en forma pulverulenta inhalable",1,"monóxido de níquel, dióxido de níquel, sulfuro de níquel, disulfuro de triníquel, trióxido de diníquel",nombre_patron,,niquel,
151-56-4,Etilenimina,10,,cas,,,
7782-41-4,Flúor,10,,cas,,,
50-00-0,Formaldehído (concentración >= 90%),5,,cas,,,
1333-74-0,Hidrógeno,5,,cas,,,
7647-01-0,Ácido clorhídrico (gas licuado),25,,cas,,,
,Derivados de aquilplomo,5,,nombre_patron,,aquilplomo,
,Gases inflamables licuados de las categorías 1 o 2 (incluido GLP) y gas natural del SGA,50,,h_categoria,H220;H221,,
74-86-2,Acetileno,5,,cas,,,
75-21-8,Óxido de etileno,5,,cas,,,
75-56-9,Óxido de propileno,5,,cas,,,
67-56-1,Metanol,500,,cas,,,
101-14-4,"4,4'-metilen-bis (2-cloroanilina) y/sus sales en forma pulverulenta",0.01,,cas,,,
624-83-9,Isocianato de metilo,0.15,,cas,,,
7782-44-7,Oxígeno,200,,cas,,,
584-84-9,"2,4-diisocianato de tolueno",10,,cas,,,
91-08-7,"2,6-diisocianato de tolueno",10,,cas,,,
75-44-5,Dicloruro de carbonilo (Fosgeno),0.3,,cas,,,
7784-42-1,Arsina (trihidruro de arsénico),0.2,,cas,,,
7803-51-2,Fosfina (trihidruro de fósforo),0.2,,cas,,,
10545-99-0,Dicloruro de azufre,1,,cas,,,
7446-11-9,Trióxido de azufre,15,,cas,,,
,"Policlorodibenzofuranos y policlorodibenzodioxinas (incluida la TCDD) calculadas en equivalente de TCDD",0.001,,nombre_patron,,dioxina;furano;TCDD;PCDD;PCDF,
,"Carcinógenos específicos (concentración > 5% en peso)",0.5,"4-aminodifenilo, triclorobenceno, bencidina, éter bis(clorometílico), éter clorometílico y metílico, 1,2-dibromoetano, sulfato de dietilo, sulfato de dimetilo, cloruro de dimetilcarbamoílo, 1,2-dibromo-3-cloropropano, 1,2-dimetilhidracina, dimetilnitrosamina, triamida hexametilfosforica, hidracina, 2-naftilamina, 4-nitrodifenilo, 1,3-propanosulfona",nombre_patron,,carcinogen,
,"Productos derivados del petróleo y combustibles alternativos",2500,"gasolinas, naftas, querosenos, gasóleos, fuelóleos pesados, combustibles alternativos",nombre_patron,,petroleo;gasolina;nafta;queroseno;gasoleo;diesel;fueloleo;combustible,
7664-41-7,Amoníaco anhidro,50,,cas,,,
7637-07-2,Trifluoruro de boro,5,,cas,,,
7783-06-4,Sulfuro de hidrógeno,5,,cas,,,
110-89-4,Piperidina,50,,cas,,,
3030-47-5,"Bis(2-dimetilaminoetil)(metil)amina",50,,cas,,,
5397-31-9,"3-(2-etilhexiloxi)propilamina",50,,cas,,,
,"Mezclas de hipoclorito de sodio clasificadas H400",200,"<5% cloro activo, no clasificada en otra categoría del Cuadro 3",nombre_patron,,hipoclorito de sodio,H400;<5% cloro activo;no otra categoría C3
107-10-8,Propilamina,500,,cas,,,
1663-39-4,Acrilato de terc-butilo,200,,cas,,,
16529-56-9,2-metil-3-butenonitrilo,500,,cas,,,
533-74-4,"Tetrahidro-3,5-dimetil-1,3,5-tiadiazina-2-tiona (dazomet)",100,,cas,,,
96-33-3,Acrilato de metilo,500,,cas,,,
108-99-6,3-metilpiridina,500,,cas,,,
109-70-6,1-bromo-3-cloropropano,500,,cas,,,
