namespace,nombre,patrón,vista,archivo:línea,categoría,plantilla,kwargs,selenium,pruebas
,login,/accounts/login/,djgentelella.views.auth.GentelellaLoginView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:77,infra,,,0,0
,logout,/accounts/logout/,djgentelella.views.auth.GentelellaLogoutView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,infra,,,0,0
,password_change,/accounts/password_change/,django.contrib.auth.views.PasswordChangeView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:360,infra,,,0,0
,password_change_done,/accounts/password_change/done/,django.contrib.auth.views.PasswordChangeDoneView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:383,infra,,,0,0
,password_reset,/accounts/password_reset/,django.contrib.auth.views.PasswordResetView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:227,infra,,,0,0
,password_reset_done,/accounts/password_reset/done/,django.contrib.auth.views.PasswordResetDoneView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,infra,,,0,0
,password_reset_confirm,/accounts/reset/<uidb64>/<token>/,django.contrib.auth.views.PasswordResetConfirmView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:266,infra,,uidb64|token,0,0
,password_reset_complete,/accounts/reset/done/,django.contrib.auth.views.PasswordResetDoneView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,infra,,,0,0
,rolbase-list,/gtapis/^rolbase/$,auth_and_perms.gtselects.RolS2OrgManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,,0,0
,rolbase-detail,/gtapis/^rolbase/(?P<pk>[^/.]+)/$,auth_and_perms.gtselects.RolS2OrgManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,pk,0,0
,laborguserbase-list,/gtapis/^laborguserbase/$,auth_and_perms.gtselects.LabUserS2OrgManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,,0,0
,laborguserbase-detail,/gtapis/^laborguserbase/(?P<pk>[^/.]+)/$,auth_and_perms.gtselects.LabUserS2OrgManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,pk,0,0
,orguserbase-list,/gtapis/^orguserbase/$,auth_and_perms.gtselects.UserS2OrgManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,,0,0
,orguserbase-detail,/gtapis/^orguserbase/(?P<pk>[^/.]+)/$,auth_and_perms.gtselects.UserS2OrgManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,pk,0,0
,groupbase-list,/gtapis/^groupbase/$,auth_and_perms.gtselects.GroupS2,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,,0,0
,userbase-list,/gtapis/^userbase/$,auth_and_perms.gtselects.UserApi,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,,0,0
,relorgbase-list,/gtapis/^relorgbase/$,auth_and_perms.gtselects.RelOrgBaseS2,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,,0,0
,relorgbase-detail,/gtapis/^relorgbase/(?P<pk>[^/.]+)/$,auth_and_perms.gtselects.RelOrgBaseS2,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,pk,0,0
,relorgfullbase-list,/gtapis/^relorgfullbase/$,auth_and_perms.gtselects.RelOrgFullS2,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,api,,,0,0
